"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[44]",4,"2022-06-16 19:37:06,849","2022-06-16 19:37:08,373","serv3","transport",false,"2022-06-16 19:37:07,837","2022-06-16 19:37:08,376","rht-007","2022-06-16 19:37:08,632","2022-06-16 19:37:09,092","rhm-010","2022-06-16 19:37:09,324","2022-06-16 19:37:09,866"
"productHolon[355]",7,"2022-06-16 19:37:07,639","2022-06-16 19:37:08,664","serv3","transport",false,"2022-06-16 19:37:08,116","2022-06-16 19:37:08,670","rht-008","2022-06-16 19:37:08,728","2022-06-16 19:37:09,209","rhm-009","2022-06-16 19:37:09,454","2022-06-16 19:37:10,001"
"productHolon[669]",11,"2022-06-16 19:37:08,452","2022-06-16 19:37:09,583","serv3","transport",false,"2022-06-16 19:37:09,002","2022-06-16 19:37:09,613","rht-007","2022-06-16 19:37:09,918","2022-06-16 19:37:10,394","rhm-007","2022-06-16 19:37:10,899","2022-06-16 19:37:11,232"
"productHolon[857]",19,"2022-06-16 19:37:08,845","2022-06-16 19:37:09,643","serv3","transport",false,"2022-06-16 19:37:09,001","2022-06-16 19:37:09,835","rht-001","2022-06-16 19:37:10,012","2022-06-16 19:37:10,393","rhm-004","2022-06-16 19:37:10,899","2022-06-16 19:37:11,311"
"productHolon[706]",21,"2022-06-16 19:37:09,025","2022-06-16 19:37:09,995","serv3","transport",false,"2022-06-16 19:37:09,201","2022-06-16 19:37:10,057","rht-003","2022-06-16 19:37:10,317","2022-06-16 19:37:10,749","rhm-005","2022-06-16 19:37:11,126","2022-06-16 19:37:11,374"
"productHolon[1050]",34,"2022-06-16 19:37:09,480","2022-06-16 19:37:10,641","serv3","transport",false,"2022-06-16 19:37:09,523","2022-06-16 19:37:10,718","rht-005","2022-06-16 19:37:11,157","2022-06-16 19:37:11,229","rhm-002","2022-06-16 19:37:11,473","2022-06-16 19:37:11,998"
"productHolon[94]",3,"2022-06-16 19:37:06,770","2022-06-16 19:37:10,197","serv3","transport",false,"2022-06-16 19:37:08,903","2022-06-16 19:37:10,207","rht-009","2022-06-16 19:37:10,507","2022-06-16 19:37:10,953","rhm-008","2022-06-16 19:37:11,433","2022-06-16 19:37:12,062"
"productHolon[659]",14,"2022-06-16 19:37:08,535","2022-06-16 19:37:11,423","serv3","transport",false,"2022-06-16 19:37:08,997","2022-06-16 19:37:11,431","rht-008","2022-06-16 19:37:11,688","2022-06-16 19:37:11,923","rhm-010","2022-06-16 19:37:12,659","2022-06-16 19:37:12,690"
"productHolon[1201]",38,"2022-06-16 19:37:09,552","2022-06-16 19:37:11,334","serv3","transport",false,"2022-06-16 19:37:09,566","2022-06-16 19:37:11,371","rht-006","2022-06-16 19:37:11,605","2022-06-16 19:37:11,923","rhm-006","2022-06-16 19:37:12,434","2022-06-16 19:37:12,690"
"productHolon[1026]",30,"2022-06-16 19:37:09,355","2022-06-16 19:37:12,112","serv3","transport",false,"2022-06-16 19:37:09,544","2022-06-16 19:37:12,325","rht-007","2022-06-16 19:37:12,648","2022-06-16 19:37:12,755","rhm-003","2022-06-16 19:37:13,435","2022-06-16 19:37:13,968"
