"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[1621]",266,"2022-06-17 13:53:46,409","2022-06-17 13:53:47,130","serv1","transport",false,"2022-06-17 13:53:46,758","2022-06-17 13:53:47,164","rht-004","2022-06-17 13:53:47,275","2022-06-17 13:53:47,689","rhm-002","2022-06-17 13:53:48,402","2022-06-17 13:53:49,102"
"productHolon[1039]",29,"2022-06-17 13:53:38,844","2022-06-17 13:53:46,766","serv1","transport",false,"2022-06-17 13:53:38,877","2022-06-17 13:53:46,772","rht-005","2022-06-17 13:53:46,988","2022-06-17 13:53:47,302","rhm-008","2022-06-17 13:53:48,173","2022-06-17 13:53:49,102"
"productHolon[182]",7,"2022-06-17 13:53:36,921","2022-06-17 13:53:47,311","serv1","transport",false,"2022-06-17 13:53:46,856","2022-06-17 13:53:47,315","rht-003","2022-06-17 13:53:47,412","2022-06-17 13:53:47,576","rhm-004","2022-06-17 13:53:48,402","2022-06-17 13:53:49,103"
"productHolon[150]",289,"2022-06-17 13:53:47,030","2022-06-17 13:53:47,579","serv2","transport",false,"2022-06-17 13:53:47,033","2022-06-17 13:53:47,591","rht-006","2022-06-17 13:53:47,742","2022-06-17 13:53:48,065","rhm-010","2022-06-17 13:53:48,568","2022-06-17 13:53:49,263"
"productHolon[214]",282,"2022-06-17 13:53:46,728","2022-06-17 13:53:47,214","serv2","transport",false,"2022-06-17 13:53:46,757","2022-06-17 13:53:47,223","rht-009","2022-06-17 13:53:47,412","2022-06-17 13:53:47,892","rhm-001","2022-06-17 13:53:49,048","2022-06-17 13:53:49,612"
"productHolon[715]",302,"2022-06-17 13:53:47,694","2022-06-17 13:53:47,965","serv2","transport",false,"2022-06-17 13:53:47,740","2022-06-17 13:53:48,397","rht-007","2022-06-17 13:53:48,851","2022-06-17 13:53:49,216","rhm-003","2022-06-17 13:53:49,682","2022-06-17 13:53:50,221"
"productHolon[902]",276,"2022-06-17 13:53:46,612","2022-06-17 13:53:47,355","serv2","transport",false,"2022-06-17 13:53:46,626","2022-06-17 13:53:47,383","rht-008","2022-06-17 13:53:47,551","2022-06-17 13:53:47,891","rhm-008","2022-06-17 13:53:49,894","2022-06-17 13:53:50,453"
"productHolon[2493]",294,"2022-06-17 13:53:47,182","2022-06-17 13:53:47,893","serv2","transport",false,"2022-06-17 13:53:47,225","2022-06-17 13:53:47,926","rht-002","2022-06-17 13:53:48,851","2022-06-17 13:53:49,216","rhm-007","2022-06-17 13:53:50,111","2022-06-17 13:53:50,847"
"productHolon[13]",292,"2022-06-17 13:53:47,128","2022-06-17 13:53:47,583","serv2","transport",false,"2022-06-17 13:53:47,165","2022-06-17 13:53:47,634","rht-010","2022-06-17 13:53:47,737","2022-06-17 13:53:48,068","rhm-002","2022-06-17 13:53:50,442","2022-06-17 13:53:51,027"
"productHolon[1917]",308,"2022-06-17 13:53:48,323","2022-06-17 13:53:48,406","serv2","transport",false,"2022-06-17 13:53:48,327","2022-06-17 13:53:48,566","rht-005","2022-06-17 13:53:49,071","2022-06-17 13:53:49,373","rhm-004","2022-06-17 13:53:50,853","2022-06-17 13:53:51,088"
"productHolon[1351]",305,"2022-06-17 13:53:47,995","2022-06-17 13:53:48,863","serv2","transport",false,"2022-06-17 13:53:48,445","2022-06-17 13:53:48,871","rht-010","2022-06-17 13:53:49,380","2022-06-17 13:53:49,829","rhm-006","2022-06-17 13:53:50,819","2022-06-17 13:53:51,372"
"productHolon[554]",21,"2022-06-17 13:53:38,528","2022-06-17 13:53:48,859","serv1","transport",false,"2022-06-17 13:53:41,436","2022-06-17 13:53:48,994","rht-004","2022-06-17 13:53:49,187","2022-06-17 13:53:49,709","rhm-010","2022-06-17 13:53:51,458","2022-06-17 13:53:51,550"
"productHolon[273]",306,"2022-06-17 13:53:48,035","2022-06-17 13:53:49,564","serv2","transport",false,"2022-06-17 13:53:49,113","2022-06-17 13:53:49,970","rht-007","2022-06-17 13:53:50,363","2022-06-17 13:53:51,031","rhm-005","2022-06-17 13:53:51,457","2022-06-17 13:53:52,058"
"productHolon[2029]",58,"2022-06-17 13:53:40,278","2022-06-17 13:53:48,746","serv1","transport",false,"2022-06-17 13:53:45,952","2022-06-17 13:53:48,909","rht-008","2022-06-17 13:53:49,379","2022-06-17 13:53:49,652","rhm-003","2022-06-17 13:53:51,938","2022-06-17 13:53:52,226"
"productHolon[356]",224,"2022-06-17 13:53:44,713","2022-06-17 13:53:49,307","serv3","transport",false,"2022-06-17 13:53:44,739","2022-06-17 13:53:49,449","rht-009","2022-06-17 13:53:50,364","2022-06-17 13:53:51,028","rhm-001","2022-06-17 13:53:51,999","2022-06-17 13:53:52,580"
