"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[55]",2,"2022-06-17 09:54:54,651","2022-06-17 09:54:58,332","serv1","transport",false,"2022-06-17 09:54:56,112","2022-06-17 09:54:58,374","rht-010","2022-06-17 09:54:58,416","2022-06-17 09:54:58,617","rhm-009","2022-06-17 09:54:58,935","2022-06-17 09:54:59,583"
"productHolon[876]",20,"2022-06-17 09:54:57,460","2022-06-17 09:54:58,046","serv1","transport",false,"2022-06-17 09:54:57,693","2022-06-17 09:54:58,054","rht-001","2022-06-17 09:54:58,135","2022-06-17 09:54:58,713","rhm-005","2022-06-17 09:54:59,697","2022-06-17 09:54:59,744"
"productHolon[400]",46,"2022-06-17 09:54:58,396","2022-06-17 09:54:59,853","serv1","transport",false,"2022-06-17 09:54:59,630","2022-06-17 09:54:59,931","rht-002","2022-06-17 09:55:00,159","2022-06-17 09:55:00,514","rhm-001","2022-06-17 09:55:00,589","2022-06-17 09:55:00,867"
"productHolon[48]",30,"2022-06-17 09:54:58,034","2022-06-17 09:55:00,670","serv1","transport",false,"2022-06-17 09:54:58,774","2022-06-17 09:55:00,679","rht-008","2022-06-17 09:55:00,835","2022-06-17 09:55:01,096","rhm-002","2022-06-17 09:55:01,375","2022-06-17 09:55:01,410"
"productHolon[1003]",48,"2022-06-17 09:54:58,417","2022-06-17 09:55:00,901","serv1","transport",false,"2022-06-17 09:54:58,882","2022-06-17 09:55:00,905","rht-006","2022-06-17 09:55:00,955","2022-06-17 09:55:01,228","rhm-008","2022-06-17 09:55:01,375","2022-06-17 09:55:01,897"
"productHolon[219]",11,"2022-06-17 09:54:55,920","2022-06-17 09:55:00,704","serv1","transport",false,"2022-06-17 09:55:00,078","2022-06-17 09:55:00,761","rht-001","2022-06-17 09:55:00,835","2022-06-17 09:55:01,095","rhm-005","2022-06-17 09:55:01,623","2022-06-17 09:55:01,898"
"productHolon[604]",17,"2022-06-17 09:54:56,733","2022-06-17 09:55:01,051","serv1","transport",false,"2022-06-17 09:54:58,139","2022-06-17 09:55:01,054","rht-002","2022-06-17 09:55:01,362","2022-06-17 09:55:01,482","rhm-004","2022-06-17 09:55:01,868","2022-06-17 09:55:02,151"
"productHolon[1158]",34,"2022-06-17 09:54:58,100","2022-06-17 09:55:02,144","serv1","transport",false,"2022-06-17 09:54:59,002","2022-06-17 09:55:02,155","rht-007","2022-06-17 09:55:02,495","2022-06-17 09:55:02,665","rhm-003","2022-06-17 09:55:03,098","2022-06-17 09:55:03,147"
"productHolon[228]",16,"2022-06-17 09:54:56,348","2022-06-17 09:55:02,289","serv1","transport",false,"2022-06-17 09:55:01,819","2022-06-17 09:55:02,300","rht-005","2022-06-17 09:55:02,508","2022-06-17 09:55:02,763","rhm-002","2022-06-17 09:55:03,098","2022-06-17 09:55:03,254"
"productHolon[1347]",118,"2022-06-17 09:55:00,892","2022-06-17 09:55:02,671","serv1","transport",false,"2022-06-17 09:55:02,107","2022-06-17 09:55:02,679","rht-004","2022-06-17 09:55:02,875","2022-06-17 09:55:03,084","rhm-008","2022-06-17 09:55:03,391","2022-06-17 09:55:03,665"
"productHolon[616]",19,"2022-06-17 09:54:56,945","2022-06-17 09:55:02,254","serv1","transport",false,"2022-06-17 09:55:01,770","2022-06-17 09:55:02,258","rht-006","2022-06-17 09:55:02,494","2022-06-17 09:55:02,866","rhm-001","2022-06-17 09:55:03,256","2022-06-17 09:55:03,666"
"productHolon[140]",5,"2022-06-17 09:54:54,899","2022-06-17 09:55:03,936","serv1","transport",false,"2022-06-17 09:54:58,326","2022-06-17 09:55:03,951","rht-005","2022-06-17 09:55:04,031","2022-06-17 09:55:04,286","rhm-006","2022-06-17 09:55:04,541","2022-06-17 09:55:04,750"
"productHolon[1532]",143,"2022-06-17 09:55:01,822","2022-06-17 09:55:03,929","serv1","transport",false,"2022-06-17 09:55:02,556","2022-06-17 09:55:03,946","rht-008","2022-06-17 09:55:03,960","2022-06-17 09:55:04,202","rhm-004","2022-06-17 09:55:04,502","2022-06-17 09:55:04,750"
"productHolon[876]",130,"2022-06-17 09:55:01,299","2022-06-17 09:55:04,128","serv2","transport",false,"2022-06-17 09:55:01,359","2022-06-17 09:55:04,132","rht-004","2022-06-17 09:55:04,357","2022-06-17 09:55:04,390","rhm-009","2022-06-17 09:55:04,604","2022-06-17 09:55:04,776"
"productHolon[829]",101,"2022-06-17 09:55:00,657","2022-06-17 09:55:04,614","serv1","transport",false,"2022-06-17 09:55:04,314","2022-06-17 09:55:04,668","rht-002","2022-06-17 09:55:04,999","2022-06-17 09:55:05,027","rhm-001","2022-06-17 09:55:05,605","2022-06-17 09:55:05,660"
"productHolon[219]",231,"2022-06-17 09:55:04,298","2022-06-17 09:55:05,241","serv2","transport",false,"2022-06-17 09:55:04,310","2022-06-17 09:55:05,243","rht-005","2022-06-17 09:55:05,354","2022-06-17 09:55:05,676","rhm-004","2022-06-17 09:55:06,096","2022-06-17 09:55:06,133"
"productHolon[1532]",259,"2022-06-17 09:55:05,219","2022-06-17 09:55:05,435","serv2","transport",false,"2022-06-17 09:55:05,227","2022-06-17 09:55:05,445","rht-006","2022-06-17 09:55:05,533","2022-06-17 09:55:05,754","rhm-003","2022-06-17 09:55:06,369","2022-06-17 09:55:07,007"
"productHolon[1158]",250,"2022-06-17 09:55:05,037","2022-06-17 09:55:05,276","serv2","transport",false,"2022-06-17 09:55:05,045","2022-06-17 09:55:05,277","rht-001","2022-06-17 09:55:05,353","2022-06-17 09:55:05,675","rhm-005","2022-06-17 09:55:06,369","2022-06-17 09:55:07,007"
