"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[95]",3,"2022-06-17 13:05:59,084","2022-06-17 13:06:01,435","serv1","transport",false,"2022-06-17 13:06:00,452","2022-06-17 13:06:01,450","rht-006","2022-06-17 13:06:01,638","2022-06-17 13:06:02,331","rhm-010","2022-06-17 13:06:02,605","2022-06-17 13:06:02,918"
"productHolon[281]",10,"2022-06-17 13:06:01,122","2022-06-17 13:06:02,303","serv1","transport",false,"2022-06-17 13:06:01,735","2022-06-17 13:06:02,377","rht-010","2022-06-17 13:06:02,674","2022-06-17 13:06:02,950","rhm-003","2022-06-17 13:06:03,372","2022-06-17 13:06:03,994"
"productHolon[285]",30,"2022-06-17 13:06:02,658","2022-06-17 13:06:04,315","serv1","transport",false,"2022-06-17 13:06:03,337","2022-06-17 13:06:04,332","rht-009","2022-06-17 13:06:04,590","2022-06-17 13:06:04,673","rhm-006","2022-06-17 13:06:05,300","2022-06-17 13:06:05,433"
"productHolon[163]",5,"2022-06-17 13:05:59,342","2022-06-17 13:06:06,047","serv1","transport",false,"2022-06-17 13:06:00,160","2022-06-17 13:06:06,049","rht-010","2022-06-17 13:06:06,121","2022-06-17 13:06:06,392","rhm-004","2022-06-17 13:06:06,837","2022-06-17 13:06:06,941"
"productHolon[644]",32,"2022-06-17 13:06:02,678","2022-06-17 13:06:05,903","serv1","transport",false,"2022-06-17 13:06:02,944","2022-06-17 13:06:05,917","rht-006","2022-06-17 13:06:06,088","2022-06-17 13:06:06,119","rhm-005","2022-06-17 13:06:06,337","2022-06-17 13:06:06,941"
"productHolon[954]",13,"2022-06-17 13:06:01,880","2022-06-17 13:06:06,216","serv1","transport",false,"2022-06-17 13:06:02,133","2022-06-17 13:06:06,225","rht-009","2022-06-17 13:06:06,393","2022-06-17 13:06:06,699","rhm-001","2022-06-17 13:06:06,836","2022-06-17 13:06:07,229"
"productHolon[709]",21,"2022-06-17 13:06:02,225","2022-06-17 13:06:06,645","serv1","transport",false,"2022-06-17 13:06:02,255","2022-06-17 13:06:06,685","rht-006","2022-06-17 13:06:06,979","2022-06-17 13:06:07,290","rhm-008","2022-06-17 13:06:07,438","2022-06-17 13:06:07,778"
"productHolon[499]",24,"2022-06-17 13:06:02,327","2022-06-17 13:06:06,949","serv1","transport",false,"2022-06-17 13:06:02,377","2022-06-17 13:06:07,035","rht-009","2022-06-17 13:06:07,333","2022-06-17 13:06:07,509","rhm-003","2022-06-17 13:06:07,692","2022-06-17 13:06:08,209"
"productHolon[163]",202,"2022-06-17 13:06:07,124","2022-06-17 13:06:07,995","serv2","transport",false,"2022-06-17 13:06:07,126","2022-06-17 13:06:08,028","rht-009","2022-06-17 13:06:08,171","2022-06-17 13:06:08,516","rhm-009","2022-06-17 13:06:08,821","2022-06-17 13:06:08,964"
"productHolon[1817]",148,"2022-06-17 13:06:06,013","2022-06-17 13:06:07,656","serv1","transport",false,"2022-06-17 13:06:07,286","2022-06-17 13:06:07,733","rht-005","2022-06-17 13:06:08,086","2022-06-17 13:06:08,204","rhm-004","2022-06-17 13:06:08,791","2022-06-17 13:06:08,964"
"productHolon[1851]",75,"2022-06-17 13:06:04,626","2022-06-17 13:06:08,287","serv1","transport",false,"2022-06-17 13:06:05,648","2022-06-17 13:06:08,299","rht-002","2022-06-17 13:06:08,377","2022-06-17 13:06:08,656","rhm-006","2022-06-17 13:06:08,881","2022-06-17 13:06:09,143"
"productHolon[1016]",16,"2022-06-17 13:06:02,063","2022-06-17 13:06:08,000","serv1","transport",false,"2022-06-17 13:06:02,133","2022-06-17 13:06:08,026","rht-001","2022-06-17 13:06:08,171","2022-06-17 13:06:08,825","rhm-001","2022-06-17 13:06:09,640","2022-06-17 13:06:10,113"
"productHolon[139]",4,"2022-06-17 13:05:59,145","2022-06-17 13:06:08,910","serv1","transport",false,"2022-06-17 13:06:01,515","2022-06-17 13:06:08,912","rht-008","2022-06-17 13:06:09,017","2022-06-17 13:06:09,587","rhm-002","2022-06-17 13:06:10,253","2022-06-17 13:06:10,286"
"productHolon[1045]",39,"2022-06-17 13:06:03,106","2022-06-17 13:06:09,198","serv1","transport",false,"2022-06-17 13:06:07,107","2022-06-17 13:06:09,202","rht-005","2022-06-17 13:06:09,444","2022-06-17 13:06:09,781","rhm-005","2022-06-17 13:06:10,288","2022-06-17 13:06:10,317"
"productHolon[2275]",166,"2022-06-17 13:06:06,319","2022-06-17 13:06:08,930","serv1","transport",false,"2022-06-17 13:06:08,333","2022-06-17 13:06:09,004","rht-002","2022-06-17 13:06:09,443","2022-06-17 13:06:09,781","rhm-003","2022-06-17 13:06:10,808","2022-06-17 13:06:11,428"
"productHolon[285]",185,"2022-06-17 13:06:06,736","2022-06-17 13:06:09,449","serv2","transport",false,"2022-06-17 13:06:06,744","2022-06-17 13:06:09,459","rht-007","2022-06-17 13:06:09,606","2022-06-17 13:06:10,061","rhm-008","2022-06-17 13:06:11,000","2022-06-17 13:06:11,652"
"productHolon[1006]",20,"2022-06-17 13:06:02,221","2022-06-17 13:06:09,676","serv1","transport",false,"2022-06-17 13:06:02,277","2022-06-17 13:06:09,709","rht-001","2022-06-17 13:06:10,084","2022-06-17 13:06:10,403","rhm-010","2022-06-17 13:06:11,381","2022-06-17 13:06:11,741"
"productHolon[1559]",146,"2022-06-17 13:06:05,996","2022-06-17 13:06:09,314","serv1","transport",false,"2022-06-17 13:06:09,111","2022-06-17 13:06:09,318","rht-003","2022-06-17 13:06:09,718","2022-06-17 13:06:10,404","rhm-004","2022-06-17 13:06:11,261","2022-06-17 13:06:11,821"
