"ph","step","startServiceRequest","startTransportRequest","service","transportService","isForWarehouse","endServiceRequest","endTransportRequest","rhtId","startTransport","endTransport","rhmId","startService","endService"
"productHolon[320]",4,"2022-06-16 19:29:57,210","2022-06-16 19:29:58,388","serv2","transport",false,"2022-06-16 19:29:57,372","2022-06-16 19:29:58,541","rht-007","2022-06-16 19:29:59,018","2022-06-16 19:29:59,070","rhm-010","2022-06-16 19:29:59,608","2022-06-16 19:30:00,007"
"productHolon[89]",7,"2022-06-16 19:29:57,645","2022-06-16 19:29:59,178","serv2","transport",false,"2022-06-16 19:29:58,812","2022-06-16 19:29:59,183","rht-002","2022-06-16 19:29:59,365","2022-06-16 19:29:59,820","rhm-001","2022-06-16 19:30:01,107","2022-06-16 19:30:01,427"
"productHolon[584]",13,"2022-06-16 19:29:58,427","2022-06-16 19:29:59,384","serv2","transport",false,"2022-06-16 19:29:59,068","2022-06-16 19:29:59,409","rht-010","2022-06-16 19:29:59,681","2022-06-16 19:29:59,711","rhm-006","2022-06-16 19:30:00,570","2022-06-16 19:30:01,428"
"productHolon[45]",6,"2022-06-16 19:29:57,423","2022-06-16 19:29:59,482","serv2","transport",false,"2022-06-16 19:29:59,096","2022-06-16 19:29:59,552","rht-009","2022-06-16 19:29:59,768","2022-06-16 19:30:00,113","rhm-008","2022-06-16 19:30:01,186","2022-06-16 19:30:01,556"
"productHolon[428]",15,"2022-06-16 19:29:58,511","2022-06-16 19:29:59,185","serv2","transport",false,"2022-06-16 19:29:58,976","2022-06-16 19:29:59,196","rht-004","2022-06-16 19:29:59,422","2022-06-16 19:29:59,963","rhm-005","2022-06-16 19:30:01,000","2022-06-16 19:30:01,696"
"productHolon[436]",14,"2022-06-16 19:29:58,493","2022-06-16 19:29:59,816","serv2","transport",false,"2022-06-16 19:29:59,292","2022-06-16 19:29:59,819","rht-007","2022-06-16 19:29:59,921","2022-06-16 19:30:00,251","rhm-009","2022-06-16 19:30:01,106","2022-06-16 19:30:01,820"
"productHolon[1060]",33,"2022-06-16 19:29:59,244","2022-06-16 19:29:59,573","serv2","transport",false,"2022-06-16 19:29:59,328","2022-06-16 19:29:59,641","rht-003","2022-06-16 19:29:59,880","2022-06-16 19:30:00,495","rhm-004","2022-06-16 19:30:01,415","2022-06-16 19:30:01,956"
"productHolon[231]",5,"2022-06-16 19:29:57,226","2022-06-16 19:29:59,571","serv2","transport",false,"2022-06-16 19:29:59,382","2022-06-16 19:29:59,648","rht-008","2022-06-16 19:29:59,881","2022-06-16 19:30:00,885","rhm-002","2022-06-16 19:30:01,813","2022-06-16 19:30:02,429"
"productHolon[202]",3,"2022-06-16 19:29:56,740","2022-06-16 19:30:01,101","serv2","transport",false,"2022-06-16 19:29:59,455","2022-06-16 19:30:01,187","rht-004","2022-06-16 19:30:01,697","2022-06-16 19:30:02,149","rhm-003","2022-06-16 19:30:02,958","2022-06-16 19:30:03,058"
"productHolon[1222]",41,"2022-06-16 19:29:59,461","2022-06-16 19:30:01,139","serv2","transport",false,"2022-06-16 19:30:00,135","2022-06-16 19:30:01,301","rht-009","2022-06-16 19:30:01,698","2022-06-16 19:30:02,148","rhm-007","2022-06-16 19:30:02,958","2022-06-16 19:30:03,339"
